|0|1|2|3|4
61|Smartphone Motorola Moto G31 128GB Grafite 4G Octa-Core 4GB RAM 6,4” Câm. Tripla + Selfie 13MP|R$ 1.439,10|R$ 1.999,00|ou 10x de R$ 159,90 sem juros|1241
62|Apple iPhone 13 128GB Meia-noite Tela 6,1” 12MP - iOS|R$ 4.769,10|R$ 7.599,90|ou 10x de R$ 529,90 sem juros|1320
63|Smartphone Samsung Galaxy A23 128GB Preto 4G - Octa-Core 4GB RAM 6,6” Câm Quádrupla + Selfie 8MP|R$ 1.399,99|null|ou 10x de R$ 140,00 sem juros|null
64|Smartphone Samsung Galaxy A23 128GB Preto 4G - Octa-Core 4GB RAM 6,6” Câm Quádrupla + Selfie 8MP|R$ 1.748,90|null|ou 10x de R$ 174,89 sem juros|null
65|Smartphone Samsung Galaxy S20 FE 5G 128GB Violeta|R$ 2.249,00|R$ 3.999,00|ou 10x de R$ 249,89 sem juros|1803
66|Smartphone Samsung Galaxy A03 64GB Vermelho 4G Octa-Core 4GB RAM Tela 6,5|R$ 1.999,90|null|ou 10x de R$ 199,99 sem juros|null
67|Smartphone Samsung Galaxy A23 128GB Branco 4G - Octa-Core 4GB RAM 6,6” Câm Quádrupla + Selfie 8MP|R$ 1.399,00|null|ou 10x de R$ 139,90 sem juros|null
68|Smartphone Samsung Galaxy A13 128GB Branco 4G Octa-Core 4GB RAM 6,6” Câm Quádrupla + Selfie 8MP|R$ 999,00|R$ 1.799,00|ou 9x de R$ 123,33 sem juros|2540
69|Smartphone Samsung Galaxy A13 128GB Azul 4G Octa-Core 4GB RAM 6,6” Câm Quádrupla + Selfie 8MP|R$ 999,00|R$ 1.799,00|ou 9x de R$ 123,33 sem juros|2890
70|iPhone 11 Apple 128GB Branco 6,1” 12MP iOS|R$ 3.509,99|R$ 5.828,90|ou 10x de R$ 390,00 sem juros|1591
71|Smartphone Samsung Galaxy A13 128GB Azul 4G Octa-Core 4GB RAM 6,6” Câm Quádrupla + Selfie 8MP|R$ 1.699,00|null|ou 10x de R$ 169,90 sem juros|null
72|Smartphone Samsung Galaxy A23 128GB Azul 4G - Octa-Core 4GB RAM 6,6” Câm Quádrupla + Selfie 8MP|R$ 1.700,00|null|ou 10x de R$ 170,00 sem juros|null
73|Smartphone Samsung Galaxy A23 128GB Azul 4G - Octa-Core 4GB RAM 6,6” Câm Quádrupla + Selfie 8MP|R$ 1.660,00|null|ou 10x de R$ 166,00 sem juros|null
74|Smartphone Samsung Galaxy S20 FE 5G 128GB Azul|R$ 2.249,00|R$ 3.999,00|ou 10x de R$ 249,89 sem juros|3565
75|Smartphone Samsung Galaxy M53 128GB Marrom 5G|R$ 1.999,00|R$ 3.499,00|ou 10x de R$ 222,11 sem juros|305
76|"Smartphone Samsung Galaxy A12 64 GB - Branco, 4G, Câmera Quadrupla 48MP + Selfie 8MP, Processador Octa-core, RAM 4GB, Tela 6.5"""|R$ 1.277,10|R$ 1.419,00|ou 10x de R$ 141,90 sem juros|null
77|Smartphone Samsung Galaxy A03 64GB Preto 4G Octa-Core 4GB RAM Tela 6,5” Câm. Dupla + Sefie 5MP|R$ 2.599,90|null|ou 10x de R$ 259,99 sem juros|null
78|Smartphone Samsung Galaxy A23 128GB Branco 4G Octa-Core 4GB RAM 6,6” Câm. Quádrupla + Selfie 8MP|R$ 1.799,99|null|ou 10x de R$ 180,00 sem juros|null
79|Carregador USB-C de 20W Apple Branco Original - iPhone/iPad Branco|R$ 160,19|R$ 280,00|null|4000
80|Smartphone Samsung Galaxy A03 64GB Vermelho 4G Octa-Core 4GB RAM Tela 6,5” Câm. Dupla + Sefie 5MP|R$ 886,50|R$ 985,00|ou 10x de R$ 98,50 sem juros|null
81|Smartphone Samsung Galaxy A03 Core 32GB Cobre Octa-Core 2GB RAM 6,5” Câm. 8MP + Selfie 5MP|R$ 749,00|R$ 999,00|ou 6x de R$ 138,70 sem juros|920
82|Smartphone Motorola Moto G32 128GB Vermelho 4G - Octa-Core 4GB RAM 6,5” Câm. Tripla + Selfie 16MP|R$ 2.399,99|null|ou 10x de R$ 240,00 sem juros|null
83|Smartphone Samsung Galaxy A21s 64GB Azul 4G - 4GB RAM 6,5” Câm. Quádrupla + Selfie 13MP|R$ 1.887,30|R$ 2.730,00|ou 10x de R$ 209,70 sem juros|null
84|Smartphone Samsung Galaxy A03 64GB Preto 4G Octa-Core 4GB RAM Tela 6,5” Câm. Dupla + Sefie 5MP|R$ 849,00|R$ 1.299,00|ou 7x de R$ 134,76 sem juros|4868
85|Smartphone Samsung Galaxy A21s 64GB Branco 4G - 4GB RAM 6,5” Câm. Quádrupla + Selfie 13MP|R$ 1.959,30|R$ 2.930,00|ou 10x de R$ 217,70 sem juros|null
86|Apple iPhone 13 128GB Estelar Tela 6,1” 12MP - iOS|R$ 4.769,99|R$ 7.599,90|ou 10x de R$ 530,00 sem juros|913
87|Smartphone Samsung Galaxy M13 128GB Cobre 4G Octa-Core 4GB RAM 6,6” Câm. Tripla + Selfie 8MP|R$ 1.750,00|null|ou 10x de R$ 175,00 sem juros|null
88|Smartphone Samsung Galaxy M13 128GB Cobre 4G Octa-Core 4GB RAM 6,6” Câm. Tripla + Selfie 8MP|R$ 1.399,00|null|ou 6x de R$ 233,17 sem juros|null
89|Smartphone Samsung Galaxy A03 64GB Vermelho 4G Octa-Core 4GB RAM Tela 6,5” Câm. Dupla + Sefie 5MP|R$ 849,00|R$ 1.299,00|ou 7x de R$ 134,76 sem juros|2872
90|"Smartphone Samsung Galaxy A23, 6,6"", 128GB, Android, Branco"|R$ 2.161,54|null|ou 10x de R$ 216,15 sem juros|null
91|Smartphone Motorola Moto G32 128GB Rosé 4G Octa-Core 4GB RAM 6,5” Câm. Tripla + Selfie 16MP|R$ 1.079,10|R$ 1.599,00|ou 10x de R$ 119,90 sem juros|1111
92|Smartphone Motorola Moto G52 128GB Preto 4G Octa-Core 4GB RAM 6,6” Câm. Tripla + Selfie 16MP|R$ 3.999,90|null|ou 10x de R$ 399,99 sem juros|null
93|iPhone 11 Apple 128GB Preto 6,1” 12MP iOS|R$ 3.509,99|R$ 6.345,90|ou 10x de R$ 390,00 sem juros|2007
94|Smartphone Samsung Galaxy A03 64GB Preto 4G Octa-Core 4GB RAM Tela 6,5” Câm. Dupla + Sefie 5MP|R$ 882,00|R$ 980,00|ou 10x de R$ 98,00 sem juros|null
95|Smartphone Samsung Galaxy A13 128GB Preto 4G Octa-Core 4GB RAM 6,6” Câm Quádrupla + Selfie 8MP|R$ 1.499,99|null|ou 10x de R$ 150,00 sem juros|null
