,product,price_original,price_value,in_cash,installment
749,"Smartphone Samsung Galaxy A13 128GB Branco 4G Octa-Core 4GB RAM 6,6” Câm Quádrupla + Selfie 8MP - Octa-Core 4GB RAM 6,6” Câm Quádrupla + Selfie 8MP","R$ 1.799,00","R$ 999,00",(10% de desconto),"ou 9x de R$ 123,33 sem juros"
750,"Smartphone Samsung Galaxy A13 128GB Azul 4G Octa-Core 4GB RAM 6,6” Câm Quádrupla + Selfie 8MP - Octa-Core 4GB RAM 6,6” Câm Quádrupla + Selfie 8MP","R$ 1.799,00","R$ 999,00",(10% de desconto),"ou 9x de R$ 123,33 sem juros"
751,"iPhone 11 Apple 128GB Branco 6,1” 12MP iOS","R$ 5.828,90","R$ 3.533,07",(7% de desconto),"ou 10x de R$ 379,90 sem juros"
752,Smartphone Samsung Galaxy S20 FE 5G 128GB Azul,"R$ 3.999,00","R$ 2.249,10",(10% de desconto),"ou 10x de R$ 249,90 sem juros"
753,"Smartphone Samsung Galaxy A13 128GB - Preto, 4G, Câmera 50MP + Selfie 8MP, Processador Octa-core, RAM 4GB, Tela 6.6""","R$ 1.580,87","R$ 1.371,93",(10% de desconto),"ou 10x de R$ 152,44 sem juros"
754,Smartphone Samsung Galaxy M53 128GB Marrom 5G,"R$ 3.499,00","R$ 1.999,00",(10% de desconto),"ou 10x de R$ 222,11 sem juros"
755,"Smartphone Samsung Galaxy A12 64 GB - Branco, 4G, Câmera Quadrupla 48MP + Selfie 8MP, Processador Octa-core, RAM 4GB, Tela 6.5""","R$ 1.422,67","R$ 1.280,40",(10% de desconto),"ou 10x de R$ 142,27 sem juros"
756,"Smartphone Samsung Galaxy A03 64GB Preto 4G Octa-Core 4GB RAM Tela 6,5” Câm. Dupla + Sefie 5MP","R$ 2.599,90","R$ 2.079,92",Null,"ou 10x de R$ 207,99 sem juros"
757,"Smartphone Samsung Galaxy M23 128GB Azul 5G Octa-Core 6GB RAM 6,6” Câm. Tripla + Selfie 8MP - Octa-C",Null,"R$ 1.900,00",Null,"ou 10x de R$ 190,00 sem juros"
758,Carregador tomada USB-C de 20w Apple - iPhone/iPad Branco,"R$ 280,00","R$ 158,01",(7% de desconto),Null
759,"Smartphone Samsung Galaxy M23 128GB Verde 5G Octa-Core 6GB RAM 6,6” Câm. Tripla + Selfie 8MP","R$ 1.999,00","R$ 1.399,00",(10% de desconto),"ou 10x de R$ 155,44 sem juros"
